longitude,latitude,B2,B3,B4,B8,B11,B12,NDVI,EVI,SAVI,NBR,ETH_CanopyHeight,Elevation,Slope,Aspect,Class
111.70132841419134,-8.050566828986534,901.0,998.0,974.0,2727.0,3091.0,2134.0,0.47365576,2.4152659134747863,0.7103876806699987,0.12199136,19,159,12,99,Secondary_Forest
111.70114875113451,-8.051015986628594,677.0,742.0,595.0,2750.0,2452.0,1450.0,0.64424515,4.332529151588259,0.9662232850097145,0.30952382,17,161,11,85,Secondary_Forest
111.7009690880777,-8.05416009012301,986.0,935.0,865.0,3053.0,2989.0,1858.0,0.5584482,6.442873969375737,0.837565394921526,0.2433313,25,138,10,129,Secondary_Forest
111.70114875113451,-8.054429584708247,952.0,929.0,698.0,3516.0,2560.0,1379.0,0.6687233,12.469026548672566,1.0029659508838533,0.43656793,22,134,7,132,Secondary_Forest
111.70159790877658,-8.053441437895716,1078.0,984.0,980.0,2555.0,3065.0,2045.0,0.44554454,11.217948717948719,0.6682223165040306,0.110869564,22,151,16,186,Secondary_Forest
111.70186740336182,-8.053441437895716,1032.0,1030.0,954.0,2646.0,3114.0,2017.0,0.47,6.703645007923931,0.7049020969309818,0.1348917,20,151,13,168,Secondary_Forest
111.70231656100387,-8.053890595537776,907.0,1016.0,830.0,2481.0,2629.0,1558.0,0.4986409,6.258529188779378,0.7478484070662841,0.22852191,20,141,12,180,Secondary_Forest
111.70195723489023,-8.054339753179836,969.0,985.0,728.0,2834.0,2331.0,1350.0,0.5912409,-81.62790697674419,0.8867368421052632,0.3546845,22,129,7,180,Secondary_Forest
111.69719616388439,-8.050566828986534,724.0,872.0,684.0,2933.0,2466.0,1428.0,0.621786,3.4965796019900495,0.9325501036627506,0.34510434,26,157,19,256,Secondary_Forest
111.69719616388439,-8.050926155100182,939.0,987.0,844.0,3284.0,2494.0,1514.0,0.59108526,4.668962877918102,0.8865205280368171,0.3689037,24,156,19,269,Secondary_Forest
111.69782498458328,-8.046344747151172,698.0,830.0,804.0,3051.0,2805.0,1795.0,0.58287936,2.127035213934116,0.874205680197121,0.25918284,16,289,41,115,Secondary_Forest
111.6972859954128,-8.045895589509112,914.0,1152.0,1038.0,2431.0,3094.0,2110.0,0.40155664,1.9293628808864267,0.6022481625594466,0.070689276,16,330,15,207,Secondary_Forest
111.69962161515151,-8.048410872304647,866.0,928.0,802.0,2658.0,2785.0,1771.0,0.5364162,4.754098360655737,0.8045080190723884,0.20027094,23,172,15,102,Secondary_Forest
111.70123858266292,-8.047692220077352,879.0,1140.0,1308.0,3400.0,2808.0,1878.0,0.44435003,1.1231611725544939,0.6664542848040778,0.2883668,21,143,12,104,Secondary_Forest
